# Start time is 15:33:33
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
-3499.9618524 0.0305180 0.0002537 0.000000036867082 -0.000000034969188
-3480.1251240 0.0305180 0.0002531 0.000000144768631 -0.000000031528777
-3459.9832151 0.0305180 0.0002555 -0.000000142296258 -0.000000127718714
-3440.1464866 0.0305180 0.0002521 -0.000000206805281 0.000000147559375
-3420.0045777 0.0305180 0.0002552 -0.000000234564115 -0.000000498159962
-3399.8626688 0.0305180 0.0002532 0.000000054584874 0.000000132424388
-3380.0259403 0.0305180 0.0002556 -0.000000058129255 -0.000000211996735
-3359.8840314 0.0305180 0.0002566 -0.000000129551407 -0.000000261854202
-3340.0473030 0.0305180 0.0002547 0.000000010483355 -0.000000283670295
-3319.9053941 0.0305180 0.0002583 -0.000000150724295 -0.000000168033255
-3300.0686656 0.0305180 0.0002546 -0.000000222024854 -0.000000328279916
-3279.9267567 0.0305180 0.0002594 0.000000006184163 0.000000048573994
-3260.0900282 0.0305180 0.0002581 -0.000000039846970 -0.000000065900577
-3239.9481193 0.0305180 0.0002554 -0.000000080116869 0.000000030237668
-3220.1113909 0.0305180 0.0002591 0.000000029245547 0.000000080121568
-3199.9694820 0.0305180 0.0002595 -0.000000038895379 -0.000000218678428
-3180.1327535 0.0305180 0.0002616 -0.000000267618373 -0.000000146137276
-3159.9908446 0.0305180 0.0002618 -0.000000157570459 -0.000000171289222
-3139.8489357 0.0305180 0.0002622 -0.000000268018394 0.000000115066672
-3120.0122072 0.0305180 0.0002601 -0.000000296911500 -0.000000003660099
-3099.8702983 0.0305180 0.0002599 -0.000000248090797 -0.000000337623125
-3080.0335698 0.0305180 0.0002620 0.000000099655606 0.000000138956292
-3059.8916609 0.0305180 0.0002610 -0.000000107556156 -0.000000332100376
-3040.0549325 0.0305180 0.0002635 -0.000000104501669 -0.000000056537984
-3019.9130236 0.0305180 0.0002617 -0.000000110980120 -0.000000111675603
-3000.0762951 0.0305180 0.0002608 0.000000307265627 -0.000000240065717
-2979.9343862 0.0305180 0.0002594 -0.000000101787873 -0.000000347435667
-2960.0976577 0.0305180 0.0002611 0.000000044556755 -0.000000031408360
-2939.9557488 0.0305180 0.0002597 -0.000000308013976 0.000000038030724
-2920.1190204 0.0305180 0.0002579 -0.000000057903693 0.000000073238985
-2899.9771115 0.0305180 0.0002602 0.000000122348689 -0.000000032473906
-2880.1403830 0.0305180 0.0002594 -0.000000142725648 -0.000000268705653
-2859.9984741 0.0305180 0.0002637 0.000000175687097 0.000000049993744
-2839.8565652 0.0305180 0.0002615 -0.000000002395423 -0.000000440974074
-2820.0198367 0.0305180 0.0002629 0.000000125661634 -0.000000204537323
-2799.8779278 0.0305180 0.0002669 -0.000000315153254 -0.000000555791688
-2780.0411994 0.0305180 0.0002643 0.000000004814930 -0.000000334628552
-2759.8992905 0.0305180 0.0002673 0.000000236446149 -0.000000190241145
-2740.0625620 0.0305180 0.0002658 0.000000008262977 0.000000140495872
-2719.9206531 0.0305180 0.0002667 0.000000097146227 -0.000000022046941
-2700.0839246 0.0305180 0.0002676 -0.000000119820513 0.000000165576742
-2679.9420157 0.0305180 0.0002674 0.000000351415900 -0.000000000678449
-2660.1052873 0.0305180 0.0002681 0.000000078395195 -0.000000196873496
-2639.9633783 0.0305180 0.0002674 0.000000148990285 0.000000034359465
-2620.1266499 0.0305180 0.0002719 0.000000181292670 0.000000094842438
-2599.9847410 0.0305180 0.0002673 0.000000108796161 0.000000137551815
-2580.1480125 0.0305180 0.0002704 -0.000000053504055 -0.000000101912990
-2560.0061036 0.0305180 0.0002681 -0.000000077950532 0.000000044271278
-2539.8641947 0.0305180 0.0002691 -0.000000256770829 -0.000000148842260
-2520.0274662 0.0305180 0.0002715 -0.000000039295987 -0.000000035869087
-2499.8855573 0.0305180 0.0002723 -0.000000125520657 -0.000000376523204
-2480.0488289 0.0305180 0.0002682 -0.000000125251627 -0.000000322844690
-2459.9069200 0.0305180 0.0002668 0.000000148664278 0.000000127553067
-2440.0701915 0.0305180 0.0002656 -0.000000072637485 0.000000006370957
-2419.9282826 0.0305180 0.0002675 0.000000052054936 -0.000000347516729
