# Start time is 12:34:26
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: Exercise 3, step alike
0.000000000000000000e+00 1.634121266597174883e+09 3.717639999999999834e-01 3.692699999999999871e-01
0.000000000000000000e+00 1.634121278308342218e+09 3.459849999999999870e-01 3.692699999999999871e-01
0.000000000000000000e+00 1.634121288348291636e+09 3.472509999999999764e-01 3.350049999999999972e-01
0.000000000000000000e+00 1.634121298382547617e+09 3.255819999999999825e-01 3.313409999999999966e-01
0.000000000000000000e+00 1.634121308456249714e+09 3.225359999999999894e-01 3.144669999999999965e-01
0.000000000000000000e+00 1.634121318501228333e+09 2.992239999999999900e-01 3.097249999999999726e-01
0.000000000000000000e+00 1.634121328543636322e+09 2.978629999999999889e-01 2.917350000000000221e-01
0.000000000000000000e+00 1.634121338592429638e+09 2.810920000000000085e-01 2.894309999999999938e-01
0.000000000000000000e+00 1.634121348633884192e+09 2.848339999999999761e-01 2.873240000000000238e-01
0.000000000000000000e+00 1.634121358667506695e+09 2.692780000000000173e-01 2.781810000000000116e-01
0.000000000000000000e+00 1.634121368720194817e+09 2.683659999999999934e-01 2.664179999999999882e-01
0.000000000000000000e+00 1.634121378771768332e+09 2.597550000000000137e-01 2.635939999999999950e-01
0.000000000000000000e+00 1.634121388819255590e+09 2.593630000000000102e-01 2.543509999999999938e-01
0.000000000000000000e+00 1.634121398865840435e+09 2.458440000000000070e-01 2.514430000000000276e-01
0.000000000000000000e+00 1.634121408911012650e+09 2.457830000000000015e-01 2.429870000000000085e-01
0.000000000000000000e+00 1.634121418956969261e+09 2.393720000000000014e-01 2.413589999999999902e-01
0.000000000000000000e+00 1.634121429020740509e+09 2.368599999999999872e-01 2.319990000000000108e-01
0.000000000000000000e+00 1.634121439072628498e+09 2.283650000000000124e-01 2.321570000000000022e-01
0.000000000000000000e+00 1.634121449118504047e+09 2.269130000000000036e-01 2.262909999999999922e-01
0.000000000000000000e+00 1.634121459164015055e+09 2.163420000000000065e-01 2.228150000000000130e-01
0.000000000000000000e+00 1.634121469207197189e+09 2.179449999999999998e-01 2.125470000000000137e-01
0.000000000000000000e+00 1.634121479268741608e+09 2.115090000000000026e-01 2.133430000000000049e-01
0.000000000000000000e+00 1.634121489326836824e+09 2.105750000000000122e-01 2.046900000000000108e-01
0.000000000000000000e+00 1.634121499383083582e+09 2.012829999999999897e-01 2.056939999999999880e-01
0.000000000000000000e+00 1.634121509431947470e+09 2.016010000000000024e-01 1.986610000000000043e-01
0.000000000000000000e+00 1.634121519472865343e+09 1.928330000000000044e-01 1.978100000000000136e-01
0.000000000000000000e+00 1.634121529496829987e+09 1.921670000000000045e-01 1.900810000000000000e-01
0.000000000000000000e+00 1.634121539544057608e+09 1.846790000000000098e-01 1.885880000000000056e-01
0.000000000000000000e+00 1.634121549590349913e+09 1.845070000000000043e-01 1.823359999999999981e-01
0.000000000000000000e+00 1.634121559627625942e+09 1.759610000000000063e-01 1.809540000000000037e-01
0.000000000000000000e+00 1.634121569684642792e+09 1.749149999999999872e-01 1.736229999999999996e-01
0.000000000000000000e+00 1.634121579734498024e+09 1.693600000000000105e-01 1.729050000000000031e-01
0.000000000000000000e+00 1.634121589761063576e+09 1.686400000000000121e-01 1.655669999999999920e-01
0.000000000000000000e+00 1.634121599812920332e+09 1.620969999999999911e-01 1.652520000000000100e-01
0.000000000000000000e+00 1.634121609855372190e+09 1.601039999999999963e-01 1.576770000000000116e-01
0.000000000000000000e+00 1.634121619889308691e+09 1.538440000000000085e-01 1.570409999999999862e-01
0.000000000000000000e+00 1.634121629938958168e+09 1.519659999999999900e-01 1.511560000000000126e-01
0.000000000000000000e+00 1.634121639989464045e+09 1.433939999999999937e-01 1.490470000000000128e-01
0.000000000000000000e+00 1.634121650023403883e+09 1.437090000000000034e-01 1.412200000000000122e-01
0.000000000000000000e+00 1.634121660053483009e+09 1.373530000000000029e-01 1.413109999999999922e-01
0.000000000000000000e+00 1.634121670095843554e+09 1.367740000000000067e-01 1.357160000000000033e-01
0.000000000000000000e+00 1.634121680140991449e+09 1.288430000000000131e-01 1.346130000000000104e-01
0.000000000000000000e+00 1.634121690192214966e+09 1.279349999999999932e-01 1.279500000000000082e-01
0.000000000000000000e+00 1.634121700258701801e+09 1.217199999999999949e-01 1.273410000000000097e-01
0.000000000000000000e+00 1.634121710304067373e+09 1.210979999999999973e-01 1.194199999999999984e-01
0.000000000000000000e+00 1.634121720343771219e+09 1.139539999999999997e-01 1.196060000000000040e-01
0.000000000000000000e+00 1.634121730366356373e+09 1.135779999999999984e-01 1.147689999999999960e-01
0.000000000000000000e+00 1.634121740412617207e+09 1.081119999999999998e-01 1.138640000000000069e-01
0.000000000000000000e+00 1.634121750463783026e+09 1.075480000000000047e-01 1.069390000000000063e-01
0.000000000000000000e+00 1.634121760511497736e+09 1.008310000000000040e-01 1.062970000000000026e-01
0.000000000000000000e+00 1.634121770567910194e+09 1.003079999999999944e-01 1.011390000000000067e-01
0.000000000000000000e+00 1.634121780613848686e+09 9.478380000000000138e-02 1.007090000000000068e-01
0.000000000000000000e+00 1.634121790654775858e+09 9.414970000000000283e-02 9.480840000000000101e-02
0.000000000000000000e+00 1.634121800713932037e+09 8.814329999999999388e-02 9.439150000000000318e-02
0.000000000000000000e+00 1.634121810778698683e+09 8.792659999999999365e-02 8.857850000000000446e-02
0.000000000000000000e+00 1.634121820832755804e+09 8.270569999999999311e-02 8.823730000000000462e-02
0.000000000000000000e+00 1.634121830874235153e+09 8.227669999999999428e-02 8.336190000000000266e-02
0.000000000000000000e+00 1.634121840923428059e+09 7.728870000000000184e-02 8.315659999999999719e-02
0.000000000000000000e+00 1.634121850974985123e+09 7.681949999999999890e-02 7.786039999999999628e-02
0.000000000000000000e+00 1.634121861032080650e+09 7.206250000000000155e-02 7.779890000000000416e-02
0.000000000000000000e+00 1.634121871086930752e+09 7.182639999999999858e-02 7.347639999999999727e-02
0.000000000000000000e+00 1.634121881148610115e+09 6.735739999999999783e-02 7.319309999999999705e-02
0.000000000000000000e+00 1.634121891170482635e+09 6.705450000000000299e-02 6.879140000000000255e-02
0.000000000000000000e+00 1.634121901207246542e+09 6.261210000000000386e-02 6.849130000000000495e-02
0.000000000000000000e+00 1.634121911262250662e+09 6.251009999999999900e-02 6.458650000000000502e-02
0.000000000000000000e+00 1.634121921304563522e+09 5.860189999999999844e-02 6.436169999999999392e-02
0.000000000000000000e+00 1.634121931346753359e+09 5.837500000000000328e-02 6.090829999999999855e-02
0.000000000000000000e+00 1.634121941392151117e+09 5.463470000000000132e-02 6.060249999999999665e-02
0.000000000000000000e+00 1.634121951416469812e+09 5.443130000000000190e-02 5.747379999999999850e-02
0.000000000000000000e+00 1.634121961454748869e+09 5.122240000000000126e-02 5.711780000000000329e-02
0.000000000000000000e+00 1.634121971511657476e+09 5.102319999999999772e-02 5.419090000000000018e-02
0.000000000000000000e+00 1.634121981554407358e+09 4.788459999999999939e-02 5.397939999999999683e-02
0.000000000000000000e+00 1.634121991602553606e+09 4.774269999999999903e-02 5.106059999999999766e-02
0.000000000000000000e+00 1.634122001645950556e+09 4.498470000000000246e-02 5.088349999999999818e-02
0.000000000000000000e+00 1.634122011697999477e+09 4.481380000000000086e-02 4.861000000000000043e-02
0.000000000000000000e+00 1.634122021748355627e+09 4.220530000000000115e-02 4.857319999999999693e-02
0.000000000000000000e+00 1.634122031788091898e+09 4.212699999999999778e-02 4.578569999999999862e-02
