# Start time is 11:59:24
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.369999999999999929e+01 1.634119164916352272e+09 3.868089999999999723e-02 4.125639999999999863e-02
1.369999999999999929e+01 1.634119176614102125e+09 4.617330000000000045e-02 4.318929999999999991e-02
1.369999999999999929e+01 1.634119186653175354e+09 4.803879999999999956e-02 4.318929999999999991e-02
1.369999999999999929e+01 1.634119196693068743e+09 4.803879999999999956e-02 5.059639999999999971e-02
1.369999999999999929e+01 1.634119206747899294e+09 5.264089999999999742e-02 5.059639999999999971e-02
1.369999999999999929e+01 1.634119216806595564e+09 5.264089999999999742e-02 5.441329999999999778e-02
1.369999999999999929e+01 1.634119226849015474e+09 5.577320000000000194e-02 5.441329999999999778e-02
1.369999999999999929e+01 1.634119236895684004e+09 5.577320000000000194e-02 5.777439999999999659e-02
1.369999999999999929e+01 1.634119246946200609e+09 5.841790000000000177e-02 5.777439999999999659e-02
1.369999999999999929e+01 1.634119256997005224e+09 5.841790000000000177e-02 6.032330000000000331e-02
1.369999999999999929e+01 1.634119267037958622e+09 6.056650000000000228e-02 6.032330000000000331e-02
1.369999999999999929e+01 1.634119277088962317e+09 6.056650000000000228e-02 6.273810000000000497e-02
1.369999999999999929e+01 1.634119287134722471e+09 6.274119999999999697e-02 6.273810000000000497e-02
1.369999999999999929e+01 1.634119297182152271e+09 6.274119999999999697e-02 6.440940000000000554e-02
1.369999999999999929e+01 1.634119307224090099e+09 6.408099999999999907e-02 6.440940000000000554e-02
1.369999999999999929e+01 1.634119317247953415e+09 6.408099999999999907e-02 6.575380000000000114e-02
1.369999999999999929e+01 1.634119327295362711e+09 6.550720000000000154e-02 6.575380000000000114e-02
1.369999999999999929e+01 1.634119337348180532e+09 6.550720000000000154e-02 6.724769999999999359e-02
1.369999999999999929e+01 1.634119347404430151e+09 6.643979999999999331e-02 6.724769999999999359e-02
1.369999999999999929e+01 1.634119357465502262e+09 6.643979999999999331e-02 6.793299999999999339e-02
1.369999999999999929e+01 1.634119367515186071e+09 6.686830000000000551e-02 6.793299999999999339e-02
1.369999999999999929e+01 1.634119377570863724e+09 6.686830000000000551e-02 6.828649999999999998e-02
1.369999999999999929e+01 1.634119387630982637e+09 6.746900000000000119e-02 6.828649999999999998e-02
1.369999999999999929e+01 1.634119397672591209e+09 6.830809999999999660e-02 6.943040000000000322e-02
1.369999999999999929e+01 1.634119407725053787e+09 6.831109999999999960e-02 7.003739999999999966e-02
1.369999999999999929e+01 1.634119417768549204e+09 6.899349999999999927e-02 6.989090000000000580e-02
1.369999999999999929e+01 1.634119427820672512e+09 6.932309999999999861e-02 7.072059999999999458e-02
1.369999999999999929e+01 1.634119437862100124e+09 6.956510000000000471e-02 7.065029999999999921e-02
1.369999999999999929e+01 1.634119447904424906e+09 6.964470000000000383e-02 7.057869999999999422e-02
1.369999999999999929e+01 1.634119457972315550e+09 7.100679999999999492e-02 7.122710000000000152e-02
1.369999999999999929e+01 1.634119468028053761e+09 7.021539999999999726e-02 7.192750000000000532e-02
1.369999999999999929e+01 1.634119478074763536e+09 7.147390000000000687e-02 7.191179999999999795e-02
1.369999999999999929e+01 1.634119488137808800e+09 7.105129999999999779e-02 7.310510000000000619e-02
1.369999999999999929e+01 1.634119498175732136e+09 7.066100000000000159e-02 7.272879999999999623e-02
1.369999999999999929e+01 1.634119508219737053e+09 7.172570000000000334e-02 7.335510000000000641e-02
1.369999999999999929e+01 1.634119518258882999e+09 7.263650000000000662e-02 7.320469999999999755e-02
1.369999999999999929e+01 1.634119528298482180e+09 7.232510000000000328e-02 7.391780000000000572e-02
1.369999999999999929e+01 1.634119538342638254e+09 7.275879999999999848e-02 7.363759999999999750e-02
1.369999999999999929e+01 1.634119548385271311e+09 7.257020000000000137e-02 7.313909999999999856e-02
1.369999999999999929e+01 1.634119558443162918e+09 7.304130000000000345e-02 7.393230000000000635e-02
1.369999999999999929e+01 1.634119568488654375e+09 7.285819999999999796e-02 7.475350000000000050e-02
1.369999999999999929e+01 1.634119578526290655e+09 7.263319999999999499e-02 7.436529999999999530e-02
1.369999999999999929e+01 1.634119588588203430e+09 7.309540000000000481e-02 7.515700000000000158e-02
1.369999999999999929e+01 1.634119598640374184e+09 7.378629999999999911e-02 7.527159999999999407e-02
1.369999999999999929e+01 1.634119608667101145e+09 7.376639999999999586e-02 7.544420000000000293e-02
